서비스명,삭제조건,삭제방식,영향
서비스 관리,연결된 배포 정보/서비스 관계/담당자/인시던트 확인 필요,논리 삭제 권장 (status → 삭제됨 또는 isDeleted 플래그),서비스 관계에서 해당 서비스 참조 해제 필요
서비스 분류,하위 분류 없음 AND 해당 분류 사용 서비스 없음,물리 삭제 또는 논리 삭제 (isActive = false),
기술스택 마스터,서비스 기술스택 매핑 없음,논리 삭제 (isActive = false),
서버 관리,배포된 서비스 없음 (SERVICE_DEPLOYMENT 참조 없음),논리 삭제 권장 (status → 삭제됨),
배포 정보,즉시 삭제 가능,물리 삭제,서비스 상세 > 서버/배포 탭에서 제거됨
서비스 관계,즉시 삭제 가능,물리 삭제,관계 그래프에서 연결선 제거
사용자 관리,서비스 담당자로 지정된 경우 해제 필요,논리 삭제 (isActive = false),대시보드 비활성 사용자 KPI 증가
그룹 관리,하위 그룹 없음 AND 소속 사용자 없음,논리 삭제 (isActive = false),
서비스 담당자,즉시 삭제 가능,물리 삭제 또는 endDate 설정,서비스 상세 > 담당자 탭에서 제거/데이터 완성도 변경
인시던트 관리,일반적으로 삭제 불가 (이력 보존),논리 삭제 또는 status = CLOSED로 처리,
공통코드 관리,해당 코드 사용 데이터 없음,논리 삭제 (isActive = false) 권장,비활성화 시 해당 코드 선택 불가
