소스 서비스,타겟 서비스,관계 유형,설명
서비스 관리,서비스 분류,FK 참조,서비스 등록 시 분류 선택 (categoryL1/L2/L3)
서비스 관리,공통코드,FK 참조,서비스 유형/중요도/상태 선택
서비스 관리,대시보드,집계 데이터,전체 서비스/운영중 서비스 KPI
서비스 관리,배포 정보,1:N 관계,서비스별 배포된 서버 목록
서비스 관리,서비스 관계,1:N 관계,서비스별 호출/피호출 관계
서비스 관리,서비스 담당자,1:N 관계,서비스별 담당자 목록
서비스 관리,인시던트,1:N 관계,서비스별 인시던트 이력
서비스 관리,서비스 기술스택,1:N 관계,서비스별 적용 기술 목록
서버 관리,공통코드,FK 참조,환경/OS 유형/상태 선택
서버 관리,대시보드,집계 데이터,등록 서버 KPI
서버 관리,배포 정보,1:N 관계,서버별 배포된 서비스 목록
서버 관리,인시던트,1:N 관계,서버별 인시던트 이력
배포 정보,서비스 관리,FK 참조,서비스 선택
배포 정보,서버 관리,FK 참조,서버 선택
서비스 관계,서비스 관리,FK 참조,호출 서비스/대상 서비스 선택
서비스 관계,관계 그래프,시각화,노드 및 엣지 데이터 제공
사용자 관리,그룹 관리,FK 참조,조직/부서 선택
사용자 관리,서비스 담당자,1:N 관계,사용자별 담당 서비스 목록
사용자 관리,대시보드,집계 데이터,비활성 사용자 KPI
그룹 관리,그룹 관리,자기참조,상위 그룹 선택
서비스 담당자,서비스 관리,FK 참조,서비스 선택
서비스 담당자,사용자 관리,FK 참조,담당자 선택
서비스 담당자,대시보드,집계 데이터,미지정 담당 서비스 KPI
인시던트,서비스 관리,FK 참조,대상 서비스 선택
인시던트,서버 관리,FK 참조,대상 서버 선택
인시던트,대시보드,집계 데이터,OPEN 인시던트 KPI
인시던트,공통코드,FK 참조,인시던트 유형/심각도 선택
기술스택 마스터,공통코드,FK 참조,기술 유형 선택
서비스 기술스택,서비스 관리,FK 참조,서비스 선택
서비스 기술스택,기술스택 마스터,FK 참조,기술스택 선택
대시보드,서비스 관리,링크,KPI 클릭 시 서비스 목록 이동
대시보드,서버 관리,링크,KPI 클릭 시 서버 목록 이동
대시보드,인시던트 관리,링크,KPI 클릭 시 인시던트 목록 이동
대시보드,사용자 관리,링크,KPI 클릭 시 사용자 목록 이동
